code	freq
1, 2	19450
1, 3	15222
1, 8, 4, 3	14372
1, 8, 2, 4, 3	7550
1, 8, 4	5269
1, 4	5034
1, 4, 14, 3	4823
1, 4, 3	3492
1, 4, 14	3471
5, 20	3346
1, 8, 4, 14, 3	3051
1, 2, 4, 14, 3	2568
1, 2, 3	2482
1, 2, 4, 3	2423
1, 8, 2, 4, 14, 3	1909
1, 2, 14	1687
1, 14	1683
5, 12	1567
1, 2, 4, 14	1447
9, 7	1407
2, 3	1033
1, 8, 2, 4	1013
1, 2, 4	955
2, 14	580
16, 7	524
1, 8, 4, 14	514
1, 8	495
1, 8, 2, 4, 14	434
4, 14	305
8, 2	303
2, 4	279
6, 7	249
1, 8, 3	248
10, 6	236
10, 19	232
8, 4	231
12, 11	211
1, 14, 3	189
1, 8, 2	177
13, 10	175
10, 15	170
8, 2, 4	166
2, 4, 14	155
8, 4, 14	130
6, 16	129
15, 6	114
9, 11	112
13, 2	109
13, 17	104
10, 18	96
9, 16	90
18, 19	83
12, 19	79
8, 2, 4, 14	79
1, 8, 2, 3	74
10, 2	71
17, 19	71
10, 7	70
10, 9	63
2, 6	61
12, 7	60
13, 19	59
12, 2	58
18, 6	57
4, 3	52
15, 16	50
8, 14	49
19, 6	46
8, 2, 14	46
4, 16	44
1, 8, 14	41
10, 16	40
13, 7	40
13, 16	39
2, 19	39
12, 10	38
1, 2, 14, 3	37
2, 4, 3	36
9, 6	36
11, 7	32
1, 7	31
12, 17	31
9, 15	31
15, 7	30
1, 8, 14, 3	29
5, 7	28
8, 4, 3	26
5, 2	25
1, 8, 2, 14	23
10, 4	23
11, 6	22
18, 17	22
13, 9	21
5, 18	20
8, 3	20
13, 15	19
4, 14, 3	19
12, 9	18
13, 12	18
13, 18	18
4, 7	18
8, 16	18
13, 12, 10	17
2, 4, 14, 3	17
8, 2, 4, 3	17
13, 10, 19	16
13, 6	16
12, 18	15
18, 11	15
8, 2, 4, 14, 3	15
10, 11	14
12, 16	14
19, 7	14
8, 4, 14, 3	14
12, 1	13
12, 6	13
20, 7	13
5, 12, 20	13
8, 2, 3	13
10, 3	12
11, 19	12
14, 3	12
2, 11	12
8, 10, 17, 4	12
1, 9	11
13, 3	11
18, 16	10
20, 6	10
8, 7	10
9, 19	10
13, 4	9
5, 12, 11	9
6, 16, 7	9
13, 10, 4	8
13, 12, 10, 11	8
5, 1	8
5, 16	8
5, 19	8
9, 2	8
1, 8, 2, 14, 3	7
11, 16	7
12, 20	7
14, 6	7
18, 2	7
18, 7	7
3, 6	7
5, 10	7
5, 6	7
5, 9	7
1, 10	6
13, 10, 17	6
13, 20	6
13, 5	6
18, 9	6
2, 14, 3	6
5, 11	6
5, 12, 7	6
9, 16, 7	6
13, 10, 11	5
13, 5, 12, 10	5
19, 16	5
20, 10	5
10, 15, 6	4
10, 2, 14	4
12, 10, 11	4
13, 1	4
15, 11	4
17, 2	4
17, 3	4
19, 3	4
20, 17	4
5, 17	4
5, 20, 9	4
1, 2, 3, 6	3
1, 3, 6	3
1, 4, 3, 6	3
10, 17	3
10, 2, 19	3
12, 10, 17	3
12, 17, 19	3
12, 3	3
12, 9, 7	3
13, 10, 2	3
13, 12, 10, 11, 19	3
13, 12, 19	3
13, 17, 3	3
17, 11	3
17, 16	3
17, 9	3
2, 3, 6	3
20, 9	3
5, 12, 10	3
5, 15	3
5, 20, 7	3
8, 10, 4	3
8, 4, 16	3
9, 4	3
1, 10, 14	2
1, 16	2
1, 2, 4, 3, 6	2
1, 4, 14, 6	2
1, 8, 10, 2, 14	2
1, 8, 2, 14, 6	2
10, 6, 16	2
11, 16, 7	2
12, 1, 2	2
12, 15	2
12, 16, 7	2
12, 2, 3	2
13, 10, 11, 6	2
13, 11	2
13, 12, 10, 18, 11	2
13, 16, 7	2
13, 4, 3	2
13, 5, 10	2
13, 5, 10, 11	2
13, 8, 10	2
17, 7	2
18, 15	2
18, 16, 7	2
2, 11, 3	2
2, 14, 6	2
20, 16	2
20, 16, 7	2
4, 3, 6	2
5, 12, 16	2
5, 3	2
5, 4	2
8, 10	2
8, 14, 3	2
8, 17, 4	2
9, 19, 7	2
9, 3	2
1, 10, 2	1
1, 10, 4	1
1, 10, 4, 3	1
1, 19, 3	1
1, 8, 10, 4, 14	1
1, 9, 2	1
10, 11, 19	1
10, 14	1
10, 15, 7	1
10, 18, 11	1
10, 18, 19, 6	1
10, 2, 3	1
10, 9, 7	1
11, 3	1
12, 1, 2, 3	1
12, 10, 19	1
12, 11, 19	1
12, 17, 9	1
12, 2, 11	1
13, 1, 4	1
13, 1, 4, 3	1
13, 10, 14	1
13, 10, 15	1
13, 10, 18	1
13, 10, 3	1
13, 10, 6	1
13, 10, 9, 11	1
13, 12, 10, 18, 6	1
13, 12, 10, 19	1
13, 12, 11	1
13, 12, 17	1
13, 14	1
13, 17, 11	1
13, 17, 6	1
13, 5, 12, 10, 11, 6	1
13, 5, 19	1
13, 5, 8	1
13, 6, 16	1
13, 6, 7	1
14, 7	1
15, 19	1
17, 4	1
18, 11, 16	1
18, 2, 3	1
20, 10, 6	1
20, 11	1
20, 15	1
20, 18	1
20, 19	1
3, 7	1
4, 6	1
5, 1, 2, 3	1
5, 1, 4	1
5, 10, 11	1
5, 10, 19	1
5, 12, 17, 19	1
5, 12, 18	1
5, 12, 19	1
5, 12, 3	1
5, 20, 6	1
5, 8, 4	1
8, 10, 4, 14, 3	1
8, 10, 4, 3	1
8, 2, 14, 3	1
8, 2, 6	1
8, 4, 16, 7	1
9, 11, 7	1
9, 6, 7	1
